name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Abert's Towhee,66,Deserts,Insects,Tree,Least Concern,28,22,47, PASSERIFORMES, EMBERIZIDAE
Acorn Woodpecker,98,Open Woodland,Insects,Cavity,Least Concern,39,21,77.5, PICIFORMES, PICIDAE
African Collared-Dove,0,Open Woodland,Seeds,Tree,Least Concern,47.5,26.5,148, COLUMBIFORMES, COLUMBIDAE
Alder Flycatcher,172,Scrub,Insects,Shrub,Least Concern,22.5,15,13, PASSERIFORMES, TYRANNIDAE
Allen's Hummingbird,12,Open Woodland,Nectar,Shrub,Least Concern,11,9,3, APODIFORMES, TROCHILIDAE
Altamira Oriole,37,Open Woodland,Insects,Tree,Least Concern,36,23,55.5, PASSERIFORMES, ICTERIDAE
American Avocet,19,Marsh,Insects,Ground,Least Concern,72,45,312.5, CHARADRIIFORMES, RECURVIROSTRIDAE
American Bittern,35,Marsh,Fish,Ground,Least Concern,92,72.5,435, PELECANIFORMES, ARDEIDAE
American Black Duck,10,Lake/Pond,Insects,Ground,Least Concern,91.5,56.5,1180, ANSERIFORMES, ANATIDAE
American Coot,89,Lake/Pond,Plants,Floating,Least Concern,60.95,41.15,650, GRUIFORMES, RALLIDAE
American Crow,137,Open Woodland,Omnivore,Tree,Least Concern,92.5,46.5,468, PASSERIFORMES, CORVIDAE
American Dipper,10,River/Stream,Insects,Cliff,Least Concern,23,17,55, PASSERIFORMES, CINCLIDAE
American Golden-Plover,0,Grassland,Insects,Ground,Least Concern,57,26,158, CHARADRIIFORMES, CHARADRIIDAE
American Goldfinch,114,Open Woodland,Seeds,Shrub,Least Concern,20.5,12,15.5, PASSERIFORMES, FRINGILLIDAE
American Kestrel,45,Open Woodland,Insects,Cavity,Least Concern,56,26.5,122.5, FALCONIFORMES, FALCONIDAE
American Oystercatcher,27,Shore-line,Insects,Ground,Least Concern,81,42,550, CHARADRIIFORMES, HAEMATOPODIDAE
American Pipit,0,Grassland,Insects,Ground,Least Concern,27,15.5,22.5, PASSERIFORMES, MOTACILLIDAE
American Redstart,184,Forest,Insects,Tree,Least Concern,17.5,12,7.5, PASSERIFORMES, PARULIDAE
American Robin,282,Open Woodland,Insects,Tree,Least Concern,35.5,24,81, PASSERIFORMES, TURDIDAE
American Three-toed Woodpecker,36,Forest,Insects,Cavity,Least Concern,38,20,65, PICIFORMES, PICIDAE
American Tree Sparrow,60,Open Woodland,Seeds,Ground,Least Concern,24,14,20.5, PASSERIFORMES, EMBERIZIDAE
American White Pelican,5,Lake/Pond,Fish,Ground,Least Concern,267,146,6750, PELECANIFORMES, PELECANIDAE
American Wigeon,27,Lake/Pond,Plants,Ground,Least Concern,84,50.5,935, ANSERIFORMES, ANATIDAE
American Woodcock,55,Forest,Insects,Ground,Least Concern,45,28,197.5, CHARADRIIFORMES, SCOLOPACIDAE
Ancient Murrelet,3,Ocean,Fish,Burrow,Least Concern,45.5,22,201.5, CHARADRIIFORMES, ALCIDAE
Anhinga,46,Marsh,Fish,Shrub,Least Concern,109,85,1337.5, SULIFORMES, ANHINGIDAE
Anna's Hummingbird,110,Open Woodland,Nectar,Tree,Least Concern,12,10,4.5, APODIFORMES, TROCHILIDAE
Arctic Tern,68,Shore-line,Fish,Ground,Least Concern,70,33.5,105, CHARADRIIFORMES, LARIDAE
Arctic Warbler,68,Forest,Insects,Ground,Least Concern,20,12,10, PASSERIFORMES, PHYLLOSCOPIDAE
Arizona Woodpecker,30,Open Woodland,Insects,Cavity,Least Concern,36,19,42.5, PICIFORMES, PICIDAE
Ash-throated Flycatcher,115,Open Woodland,Insects,Cavity,Least Concern,31,20,29.5, PASSERIFORMES, TYRANNIDAE
Audubon's Oriole,17,Open Woodland,Insects,Tree,Least Concern,32,21.5,42, PASSERIFORMES, ICTERIDAE
Baird's Sandpiper,34,Shore-line,Insects,Ground,Least Concern,36.5,16,45, CHARADRIIFORMES, SCOLOPACIDAE
Baird's Sparrow,35,Grassland,Seeds,Ground,Least Concern,23,12,19, PASSERIFORMES, EMBERIZIDAE
Bald Eagle,38,Forest,Fish,Tree,Least Concern,204,83.5,4650, ACCIPITRIFORMES, ACCIPITRIDAE
Baltimore Oriole,127,Open Woodland,Insects,Tree,Least Concern,26.5,18,35, PASSERIFORMES, ICTERIDAE
Band-tailed Pigeon,56,Forest,Seeds,Tree,Least Concern,68,36.5,353, COLUMBIFORMES, COLUMBIDAE
Bank Swallow,0,Lake/Pond,Insects,Burrow,Least Concern,27,13,14.5, PASSERIFORMES, HIRUNDINIDAE
Barn Owl,0,Grassland,Mammals,Building,Least Concern,112.5,36,550, STRIGIFORMES, TYTONIDAE
Barn Swallow,397,Town,Insects,Building,Least Concern,30.5,17,18.5, PASSERIFORMES, HIRUNDINIDAE
Barred Owl,0,Forest,Mammals,Tree,Least Concern,104.5,46.5,760, STRIGIFORMES, STRIGIDAE
Barrow's Goldeneye,17,Lake/Pond,Insects,Cavity,Least Concern,76,45.5,900, ANSERIFORMES, ANATIDAE
Bay-breasted Warbler,53,Forest,Insects,Tree,Least Concern,21,14,13.5, PASSERIFORMES, PARULIDAE
Bell's Sparrow,49,Scrub,Insects,Shrub,Least Concern,21,13.5,18.5, PASSERIFORMES, EMBERIZIDAE
Bell's Vireo,92,Scrub,Insects,Shrub,Near Threatened,18,11.5,8.5, PASSERIFORMES, VIREONIDAE
Belted Kingfisher,40,Lake/Pond,Fish,Burrow,Least Concern,53,31.5,155, CORACIIFORMES, ALCEDINIDAE
Bendire's Thrasher,15,Deserts,Insects,Shrub,Vulnerable,35,24,60, PASSERIFORMES, MIMIDAE
Bewick's Wren,338,Open Woodland,Insects,Cavity,Least Concern,14,13,10, PASSERIFORMES, TROGLODYTIDAE
Bicknell's Thrush,41,Forest,Insects,Shrub,Vulnerable,25,16.5,28, PASSERIFORMES, TURDIDAE
Black-and-white Warbler,139,Forest,Insects,Ground,Least Concern,20,12,11.5, PASSERIFORMES, PARULIDAE
Black-backed Woodpecker,21,Forest,Insects,Cavity,Least Concern,43,23,74.5, PICIFORMES, PICIDAE
Black-bellied Plover,0,Shore-line,Insects,Ground,Least Concern,59.5,28.5,218.5, CHARADRIIFORMES, CHARADRIIDAE
Black-bellied Whistling-Duck,0,Marsh,Plants,Cavity,Least Concern,86,49,836, ANSERIFORMES, ANATIDAE
Black-billed Cuckoo,37,Forest,Insects,Tree,Least Concern,37,29.5,52.5, CUCULIFORMES, CUCULIDAE
Black-billed Magpie,27,Open Woodland,Omnivore,Tree,Least Concern,58.5,52.5,177.5, PASSERIFORMES, CORVIDAE
Blackburnian Warbler,113,Forest,Insects,Tree,Least Concern,20.5,11.5,11, PASSERIFORMES, PARULIDAE
Black-capped Chickadee,111,Forest,Insects,Cavity,Least Concern,18.5,13.5,11.5, PASSERIFORMES, PARIDAE
Black-capped Vireo,35,Scrub,Insects,Tree,Vulnerable,18,11,9, PASSERIFORMES, VIREONIDAE
Black-chinned Hummingbird,67,Open Woodland,Nectar,Tree,Least Concern,11,9,3.15, APODIFORMES, TROCHILIDAE
Black-crested Titmouse,32,Forest,Insects,Cavity,Least Concern,24,15,26, PASSERIFORMES, PARIDAE
Black-crowned Night-Heron,0,Marsh,Fish,Tree,Least Concern,116.5,62,870.5, PELECANIFORMES, ARDEIDAE
Black-footed Albatross,21,Ocean,Fish,Ground,Vulnerable,204.5,69,3250, PROCELLARIIFORMES, DIOMEDEIDAE
Black Guillemot,4,Ocean,Fish,Cliff,Least Concern,55,31,402.5, CHARADRIIFORMES, ALCIDAE
Black-headed Grosbeak,101,Forest,Insects,Tree,Least Concern,32,18.5,42, PASSERIFORMES, CARDINALIDAE
Black-headed Gull,216,Lake/Pond,Omnivore,Ground,Least Concern,105,35.5,295, CHARADRIIFORMES, LARIDAE
Black-legged Kittiwake,37,Ocean,Fish,Cliff,Least Concern,94,39.5,415, CHARADRIIFORMES, LARIDAE
Black-necked Stilt,87,Shore-line,Insects,Ground,Least Concern,71,37,178, CHARADRIIFORMES, RECURVIROSTRIDAE
Black Oystercatcher,9,Shore-line,Insects,Ground,Least Concern,81,44.5,600, CHARADRIIFORMES, HAEMATOPODIDAE
Black Phoebe,68,Open Woodland,Insects,Cliff,Least Concern,27,16,18.5, PASSERIFORMES, TYRANNIDAE
Blackpoll Warbler,104,Forest,Insects,Tree,Least Concern,22,14,12.5, PASSERIFORMES, PARULIDAE
Black Rail,57,Marsh,Insects,Ground,Near Threatened,25,12.5,29, GRUIFORMES, RALLIDAE
Black Rosy-Finch,0,Mountains,Seeds,Ground,Least Concern,33,15,27, PASSERIFORMES, FRINGILLIDAE
Black Scoter,9,Ocean,Insects,Ground,Near Threatened,84,48,1066, ANSERIFORMES, ANATIDAE
Black Skimmer,46,Shore-line,Fish,Ground,Least Concern,112,45,329.5, CHARADRIIFORMES, LARIDAE
Black-tailed Gnatcatcher,45,Scrub,Insects,Shrub,Least Concern,14.5,12,5.55, PASSERIFORMES, POLIOPTILIDAE
Black Tern,74,Marsh,Insects,Floating,Least Concern,58.5,24.5,55, CHARADRIIFORMES, LARIDAE
Black-throated Blue Warbler,80,Forest,Insects,Shrub,Least Concern,18.5,12,10, PASSERIFORMES, PARULIDAE
Black-throated Gray Warbler,0,Forest,Insects,Tree,Least Concern,19,12,8.5, PASSERIFORMES, PARULIDAE
Black-throated Green Warbler,89,Forest,Insects,Tree,Least Concern,18.5,11.5,9, PASSERIFORMES, PARULIDAE
Black-throated Sparrow,105,Scrub,Insects,Shrub,Least Concern,22,13,13, PASSERIFORMES, EMBERIZIDAE
Black Turnstone,15,Shore-line,Insects,Ground,Least Concern,43,23.5,135, CHARADRIIFORMES, SCOLOPACIDAE
Black Vulture,22,Open Woodland,Carrion,Cliff,Least Concern,143.5,64,1900, ACCIPITRIFORMES, CATHARTIDAE
Black-whiskered Vireo,46,Forest,Insects,Tree,Least Concern,25,15.5,19.5, PASSERIFORMES, VIREONIDAE
Blue-footed Booby,3,Ocean,Fish,Ground,Least Concern,158,81,1850, SULIFORMES, SULIDAE
Blue-gray Gnatcatcher,0,Forest,Insects,Tree,Least Concern,16,10.5,6, PASSERIFORMES, POLIOPTILIDAE
Blue Grosbeak,70,Open Woodland,Insects,Shrub,Least Concern,28,15.5,28.5, PASSERIFORMES, CARDINALIDAE
Blue-headed Vireo,89,Forest,Insects,Tree,Least Concern,22,14,16, PASSERIFORMES, VIREONIDAE
Blue Jay,165,Forest,Omnivore,Tree,Least Concern,38.5,27.5,85, PASSERIFORMES, CORVIDAE
Bluethroat,242,Mountains,Insects,Ground,Least Concern,23,14,18.5, PASSERIFORMES, MUSCICAPIDAE
Blue-throated Hummingbird,0,Open Woodland,Nectar,Shrub,Least Concern,19,11.5,7, APODIFORMES, TROCHILIDAE
Blue-winged Teal,56,Lake/Pond,Seeds,Ground,Least Concern,59,38.5,387.5, ANSERIFORMES, ANATIDAE
Blue-winged Warbler,70,Open Woodland,Insects,Ground,Least Concern,15,11.5,9, PASSERIFORMES, PARULIDAE
Boat-tailed Grackle,59,Marsh,Omnivore,Tree,Least Concern,44.5,31.5,166, PASSERIFORMES, ICTERIDAE
Bobolink,99,Grassland,Insects,Ground,Least Concern,27,18,42.5, PASSERIFORMES, ICTERIDAE
Bohemian Waxwing,95,Forest,Insects,Tree,Least Concern,33,17.5,57, PASSERIFORMES, BOMBYCILLIDAE
Bonaparte's Gull,24,Lake/Pond,Insects,Tree,Least Concern,78,33,202.5, CHARADRIIFORMES, LARIDAE
Boreal Chickadee,34,Forest,Insects,Tree,Least Concern,20,13,9.5, PASSERIFORMES, PARIDAE
Boreal Owl,120,Forest,Mammals,Cavity,Least Concern,58.5,24.5,154, STRIGIFORMES, STRIGIDAE
Botteri's Sparrow,95,Grassland,Insects,Ground,Least Concern,22,16,21.5, PASSERIFORMES, EMBERIZIDAE
Brandt's Cormorant,0,Ocean,Fish,Cliff,Least Concern,108,74.5,2050, SULIFORMES, PHALACROCORACIDAE
Brant,0,Marsh,Plants,Ground,Least Concern,109,61,1500, ANSERIFORMES, ANATIDAE
Brewer's Blackbird,35,Town,Seeds,Shrub,Least Concern,21,23,73, PASSERIFORMES, ICTERIDAE
Bridled Titmouse,30,Forest,Insects,Tree,Least Concern,12,10,10, PASSERIFORMES, PARIDAE
Broad-billed Hummingbird,39,Scrub,Nectar,Tree,Least Concern,12,10,3.5, APODIFORMES, TROCHILIDAE
Broad-tailed Hummingbird,79,Open Woodland,Nectar,Tree,Least Concern,13,8.5,3.5, APODIFORMES, TROCHILIDAE
Broad-winged Hawk,54,Forest,Mammals,Tree,Least Concern,90.5,39,412.5, ACCIPITRIFORMES, ACCIPITRIDAE
Bronzed Cowbird,21,Town,Insects,Tree,Least Concern,33,20,62.5, PASSERIFORMES, ICTERIDAE
Brown Booby,5,Ocean,Fish,Ground,Least Concern,143.5,74.5,1375, SULIFORMES, SULIDAE
Brown-capped Rosy-Finch,0,Mountains,Seeds,Ground,Least Concern,33,15,28, PASSERIFORMES, FRINGILLIDAE
Brown Creeper,159,Forest,Insects,Tree,Least Concern,18.5,13,7.5, PASSERIFORMES, CERTHIIDAE
Brown-headed Cowbird,129,Grassland,Seeds,Tree,Least Concern,18,20.5,46, PASSERIFORMES, ICTERIDAE
Brown-headed Nuthatch,49,Forest,Insects,Cavity,Least Concern,17,10.5,10, PASSERIFORMES, SITTIDAE
Brown Pelican,2,Ocean,Fish,Tree,Least Concern,200,118.5,3500, PELECANIFORMES, PELECANIDAE
Brown Thrasher,81,Scrub,Omnivore,Shrub,Least Concern,30.5,26.5,75, PASSERIFORMES, MIMIDAE
Buff-bellied Hummingbird,15,Open Woodland,Nectar,Tree,Least Concern,14,10.5,3, APODIFORMES, TROCHILIDAE
Buff-breasted Flycatcher,45,Open Woodland,Insects,Tree,Least Concern,19,13,7.5, PASSERIFORMES, TYRANNIDAE
Buff-breasted Sandpiper,5,Grassland,Insects,Ground,Near Threatened,41,19,62, CHARADRIIFORMES, SCOLOPACIDAE
Bufflehead,7,Lake/Pond,Insects,Cavity,Least Concern,55,36,453.5, ANSERIFORMES, ANATIDAE
Bullock's Oriole,29,Open Woodland,Insects,Tree,Least Concern,31,18,36, PASSERIFORMES, ICTERIDAE
Burrowing Owl,77,Grassland,Insects,Burrow,Least Concern,55,22,150, STRIGIFORMES, STRIGIDAE
Bushtit,123,Scrub,Insects,Tree,Least Concern,15,7.5,5, PASSERIFORMES, AEGITHALIDAE
Cackling Goose,19,Lake/Pond,Plants,Ground,Least Concern,109,65,1975, ANSERIFORMES, ANATIDAE
Cactus Wren,62,Deserts,Insects,Shrub,Least Concern,27,20,39.5, PASSERIFORMES, TROGLODYTIDAE
California Condor,0,Mountains,Carrion,Cliff,Critically Endangered,277,125.5,8450, ACCIPITRIFORMES, CATHARTIDAE
California Gull,32,Lake/Pond,Insects,Ground,Least Concern,130,50.5,737.5, CHARADRIIFORMES, LARIDAE
California Quail,55,Scrub,Seeds,Ground,Least Concern,34.5,25.5,185, GALLIFORMES, ODONTOPHORIDAE
California Thrasher,35,Scrub,Insects,Shrub,Least Concern,31,32,85.5, PASSERIFORMES, MIMIDAE
California Towhee,47,Scrub,Seeds,Shrub,Least Concern,29,23,52, PASSERIFORMES, EMBERIZIDAE
Calliope Hummingbird,25,Open Woodland,Nectar,Tree,Least Concern,11,9,2.5, APODIFORMES, TROCHILIDAE
Canada Goose,140,Marsh,Seeds,Ground,Least Concern,148.5,93,6000, ANSERIFORMES, ANATIDAE
Canada Warbler,105,Forest,Insects,Ground,Least Concern,19.5,13.5,11, PASSERIFORMES, PARULIDAE
Canvasback,7,Lake/Pond,Plants,Floating,Least Concern,84,52,1225, ANSERIFORMES, ANATIDAE
Canyon Wren,77,Mountains,Insects,Cliff,Least Concern,19,13,13.5, PASSERIFORMES, TROGLODYTIDAE
Cape May Warbler,59,Forest,Insects,Tree,Least Concern,20.5,12.5,10.5, PASSERIFORMES, PARULIDAE
Carolina Chickadee,91,Forest,Omnivore,Cavity,Least Concern,17.5,11,10, PASSERIFORMES, PARIDAE
Carolina Wren,217,Open Woodland,Insects,Cavity,Least Concern,29,13,20, PASSERIFORMES, TROGLODYTIDAE
Caspian Tern,55,Shore-line,Fish,Ground,Least Concern,127.5,50.5,656, CHARADRIIFORMES, LARIDAE
Cassin's Auklet,2,Ocean,Insects,Burrow,Least Concern,38,23,175, CHARADRIIFORMES, ALCIDAE
Cassin's Finch,83,Forest,Seeds,Tree,Near Threatened,26,16,29, PASSERIFORMES, FRINGILLIDAE
Cassin's Kingbird,75,Open Woodland,Insects,Tree,Least Concern,38,22,45, PASSERIFORMES, TYRANNIDAE
Cassin's Sparrow,83,Grassland,Insects,Ground,Least Concern,20,14,17.5, PASSERIFORMES, EMBERIZIDAE
Cassin's Vireo,73,Forest,Insects,Tree,Least Concern,24,12.5,15.5, PASSERIFORMES, VIREONIDAE
Cattle Egret,0,Marsh,Insects,Tree,Least Concern,92,51,391, PELECANIFORMES, ARDEIDAE
Cave Swallow,16,Grassland,Insects,Building,Least Concern,30,14,21, PASSERIFORMES, HIRUNDINIDAE
Cedar Waxwing,54,Open Woodland,Fruit,Tree,Least Concern,26,15.5,32, PASSERIFORMES, BOMBYCILLIDAE
Cerulean Warbler,58,Forest,Insects,Tree,Vulnerable,20,11,9, PASSERIFORMES, PARULIDAE
Chestnut-backed Chickadee,74,Forest,Insects,Cavity,Least Concern,19,11,9.5, PASSERIFORMES, PARIDAE
Chestnut-collared Longspur,29,Grassland,Insects,Ground,Near Threatened,27,15,20.5, PASSERIFORMES, CALCARIIDAE
Chestnut-sided Warbler,106,Open Woodland,Insects,Shrub,Least Concern,19.5,10.5,11, PASSERIFORMES, PARULIDAE
Chihuahuan Raven,12,Scrub,Omnivore,Tree,Least Concern,107,49.5,525, PASSERIFORMES, CORVIDAE
Chimney Swift,22,Town,Insects,Building,Near Threatened,28.5,13.5,23.5, APODIFORMES, APODIDAE
Chipping Sparrow,136,Open Woodland,Seeds,Shrub,Least Concern,21,13.5,13.5, PASSERIFORMES, EMBERIZIDAE
Chuck-will's-widow,63,Open Woodland,Insects,Ground,Least Concern,59.5,30,127, CAPRIMULGIFORMES, CAPRIMULGIDAE
Chukar,14,Mountains,Seeds,Ground,Least Concern,51,36,612.5, GALLIFORMES, PHASIANIDAE
Cinnamon Teal,9,Lake/Pond,Seeds,Ground,Least Concern,61,39.5,390, ANSERIFORMES, ANATIDAE
Clapper Rail,107,Marsh,Insects,Ground,Least Concern,48,36.5,280, GRUIFORMES, RALLIDAE
Clark's Grebe,7,Marsh,Fish,Floating,Least Concern,81.5,65,1201.5, PODICIPEDIFORMES, PODICIPEDIDAE
Clark's Nutcracker,39,Forest,Omnivore,Tree,Least Concern,61,28.5,133.5, PASSERIFORMES, CORVIDAE
Cliff Swallow,0,Lake/Pond,Insects,Cliff,Least Concern,29,13,26.5, PASSERIFORMES, HIRUNDINIDAE
Common Eider,36,Ocean,Insects,Ground,Least Concern,89,60.5,2110, ANSERIFORMES, ANATIDAE
Common Gallinule,134,Marsh,Plants,Floating,Least Concern,58,33.5,383, GRUIFORMES, RALLIDAE
Common Goldeneye,68,Lake/Pond,Insects,Cavity,Least Concern,80,45.5,950, ANSERIFORMES, ANATIDAE
Common Grackle,86,Open Woodland,Omnivore,Tree,Least Concern,41,31,108, PASSERIFORMES, ICTERIDAE
Common Ground-Dove,0,Scrub,Seeds,Ground,Least Concern,27,16.5,34, COLUMBIFORMES, COLUMBIDAE
Common Loon,0,Lake/Pond,Fish,Ground,Least Concern,117.5,78.5,4300, GAVIIFORMES, GAVIIDAE
Common Merganser,56,Lake/Pond,Fish,Cavity,Least Concern,86,62.5,1530, ANSERIFORMES, ANATIDAE
Common Murre,24,Ocean,Fish,Cliff,Least Concern,67.5,40.5,962.5, CHARADRIIFORMES, ALCIDAE
Common Nighthawk,56,Grassland,Insects,Ground,Least Concern,55,23,81.5, CAPRIMULGIFORMES, CAPRIMULGIDAE
Common Pauraque,0,Open Woodland,Insects,Ground,Least Concern,61,29,53, CAPRIMULGIFORMES, CAPRIMULGIDAE
Common Poorwill,37,Scrub,Insects,Ground,Least Concern,43,20,45.5, CAPRIMULGIFORMES, CAPRIMULGIDAE
Common Raven,0,Mountains,Omnivore,Cliff,Least Concern,117,62.5,1157, PASSERIFORMES, CORVIDAE
Common Redpoll,151,Open Woodland,Seeds,Shrub,Least Concern,20.5,13,15.5, PASSERIFORMES, FRINGILLIDAE
Common Tern,128,Shore-line,Fish,Ground,Least Concern,77.5,34.5,146.5, CHARADRIIFORMES, LARIDAE
Common Yellowthroat,221,Scrub,Insects,Shrub,Least Concern,17,12,9.5, PASSERIFORMES, PARULIDAE
Connecticut Warbler,34,Forest,Insects,Ground,Least Concern,22,14,15, PASSERIFORMES, PARULIDAE
Cooper's Hawk,57,Forest,Birds,Tree,Least Concern,43.5,38,315, ACCIPITRIFORMES, ACCIPITRIDAE
Cordilleran Flycatcher,68,Forest,Insects,Tree,Least Concern,22,15.5,12, PASSERIFORMES, TYRANNIDAE
Costa's Hummingbird,24,Deserts,Nectar,Shrub,Least Concern,11,9,2.5, APODIFORMES, TROCHILIDAE
Couch's Kingbird,26,Open Woodland,Insects,Tree,Least Concern,38,22,40, PASSERIFORMES, TYRANNIDAE
Crested Caracara,0,Deserts,Small_Animals,Tree,Least Concern,120,53.5,1175, FALCONIFORMES, FALCONIDAE
Crissal Thrasher,27,Scrub,Insects,Shrub,Least Concern,32,30,61.5, PASSERIFORMES, MIMIDAE
Curve-billed Thrasher,61,Scrub,Insects,Shrub,Least Concern,34,27,85, PASSERIFORMES, MIMIDAE
Dark-eyed Junco,241,Forest,Seeds,Ground,Least Concern,21.5,15,24, PASSERIFORMES, EMBERIZIDAE
Dickcissel,79,Grassland,Seeds,Shrub,Least Concern,25,15,26, PASSERIFORMES, CARDINALIDAE
Double-crested Cormorant,33,Lake/Pond,Fish,Ground,Least Concern,118.5,80,1850, SULIFORMES, PHALACROCORACIDAE
Dovekie,0,Ocean,Insects,Cliff,Least Concern,38,21,169, CHARADRIIFORMES, ALCIDAE
Downy Woodpecker,110,Forest,Insects,Cavity,Least Concern,27.5,15.5,24.5, PICIFORMES, PICIDAE
Dunlin,91,Shore-line,Insects,Ground,Least Concern,37,19,56, CHARADRIIFORMES, SCOLOPACIDAE
Dusky Flycatcher,0,Open Woodland,Insects,Shrub,Least Concern,21.5,14,10, PASSERIFORMES, TYRANNIDAE
Dusky Grouse,4,Forest,Plants,Ground,Least Concern,66,45,1025, GALLIFORMES, PHASIANIDAE
Eared Grebe,0,Lake/Pond,Insects,Floating,Least Concern,53.5,32.5,467.5, PODICIPEDIFORMES, PODICIPEDIDAE
